1880.05.06_TheLeedsMercury_0008,1880.05.05_ThePallMallGazette_0006
1880.05.06_ThePallMallGazette_0013,1880.05.05_BirminghamDailyPost_0006
1880.05.06_YGenedlCymreig_0002,1880.05.05_BaneracAmserauCymru_0015
1880.05.07_AberdeenWeeklyJournal_0001,1880.05.06_ThePallMallGazette_0015
1880.05.07_AberdeenWeeklyJournal_0002,1880.05.03_TheHullPacketandEastRidingTimes_0002
1880.05.07_AberdeenWeeklyJournal_0003,1880.05.06_GlasgowHerald_0006
1880.05.07_AberdeenWeeklyJournal_0005,1880.05.06_ThePallMallGazette_0004
1880.05.07_AberdeenWeeklyJournal_0006,1880.05.06_GlasgowHerald_0005
1880.05.07_AberdeenWeeklyJournal_0007,1880.05.05_GlasgowHerald_0009
1880.05.07_BirminghamDailyPost_0004,1880.05.06_ThePallMallGazette_0008
1880.05.07_BirminghamDailyPost_0006,1880.05.06_GlasgowHerald_0006
1880.05.07_BirminghamDailyPost_0008,1880.05.06_ThePallMallGazette_0008
1880.05.07_DailyNews_0006,1880.05.06_ThePallMallGazette_0008
1880.05.07_Freeman'sJournalandDailyCommercialAdvertiser_0004,1880.05.01_AberdeenWeeklyJournal_0001
1880.05.07_Freeman'sJournalandDailyCommercialAdvertiser_0006,1880.05.06_ThePallMallGazette_0008
1880.05.07_GlasgowHerald_0001,1880.05.06_ThePallMallGazette_0015
1880.05.07_GlasgowHerald_0008,1880.05.05_BirminghamDailyPost_0006
1880.05.07_GlasgowHerald_0011,1880.05.03_TheHullPacketandEastRidingTimes_0002
1880.05.07_LiverpoolMercuryetc_0007,1880.05.06_ThePallMallGazette_0008
1880.05.07_TheBristolMercuryandDailyPost_0002,1880.05.06_DailyNews_0002
1880.05.07_TheBristolMercuryandDailyPost_0006,1880.05.06_DailyNews_0006
1880.05.07_TheBristolMercuryandDailyPost_0007,1880.05.03_TheHullPacketandEastRidingTimes_0002
1880.05.07_TheBristolMercuryandDailyPost_0008,1880.05.06_ThePallMallGazette_0004
1880.05.07_TheHullPacketandEastRidingTimes_0001,1880.05.05_AberdeenWeeklyJournal_0001
1880.05.07_TheHullPacketandEastRidingTimes_0002,1880.05.05_TheDerbyMercury_0007
1880.05.07_TheHullPacketandEastRidingTimes_0004,1880.05.01_TheBristolMercuryandDailyPost_S0007
1880.05.07_TheLeedsMercury_0001,1880.05.01_Jackson'sOxfordJournal_0002
1880.05.07_TheLeedsMercury_0002,1880.05.06_ThePallMallGazette_0004
1880.05.07_TheLeedsMercury_0003,1880.05.01_HampshireTelegraphandSussexChronicleetc_0002
1880.05.07_TheLeedsMercury_0005,1880.05.06_ThePallMallGazette_0008
1880.05.07_TheLeedsMercury_0006,1880.05.05_BirminghamDailyPost_0006
1880.05.07_TheLeedsMercury_0007,1880.05.06_ThePallMallGazette_0008
1880.05.07_TheLeedsMercury_0008,1880.05.04_DailyNews_0002
1880.05.07_ThePallMallGazette_0013,1880.05.05_BirminghamDailyPost_0006
1880.05.07_ThePallMallGazette_0014,1880.05.06_TheBristolMercuryandDailyPost_0008
1880.05.07_WesternMail_0003,1880.05.06_TheBristolMercuryandDailyPost_0003
1880.05.08_AberdeenWeeklyJournal_0001,1880.05.07_GlasgowHerald_0001
1880.05.08_BirminghamDailyPost_0004,1880.05.07_TheBristolMercuryandDailyPost_0008
1880.05.08_BirminghamDailyPost_0005,1880.05.07_ThePallMallGazette_0008
1880.05.08_BirminghamDailyPost_0006,1880.05.01_TheLeedsMercury_0006
1880.05.08_DailyNews_0003,1880.05.07_ThePallMallGazette_0006
1880.05.08_DailyNews_0006,1880.05.07_ThePallMallGazette_0008
1880.05.08_Freeman'sJournalandDailyCommercialAdvertiser_0006,1880.05.06_BirminghamDailyPost_0006
1880.05.08_GlasgowHerald_0001,1880.05.07_ThePallMallGazette_0014
1880.05.08_GlasgowHerald_0003,1880.05.07_TheBristolMercuryandDailyPost_0006
1880.05.08_GlasgowHerald_0006,1880.05.05_BirminghamDailyPost_0006
1880.05.08_GlasgowHerald_0007,1880.05.07_ThePallMallGazette_0007
1880.05.08_HampshireTelegraphandSussexChronicleetc_0002,1880.05.07_TheLeedsMercury_0003
1880.05.08_HampshireTelegraphandSussexChronicleetc_0003,1880.05.07_TheLeedsMercury_0007
1880.05.08_HampshireTelegraphandSussexChronicleetc_0005,1880.05.06_AberdeenWeeklyJournal_0005
1880.05.08_HampshireTelegraphandSussexChronicleetc_0006,1880.05.05_TheDerbyMercury_0003
1880.05.08_HampshireTelegraphandSussexChronicleetc_0007,1880.05.04_TheBristolMercuryandDailyPost_0007
1880.05.08_HampshireTelegraphandSussexChronicleetc_S0001,1880.05.07_AberdeenWeeklyJournal_0007
1880.05.08_HampshireTelegraphandSussexChronicleetc_S0002,1880.05.04_DailyNews_0002
1880.05.08_HampshireTelegraphandSussexChronicleetc_S0003,1880.05.07_TheBristolMercuryandDailyPost_0002
1880.05.08_HampshireTelegraphandSussexChronicleetc_S0004,1880.05.06_TheBristolMercuryandDailyPost_0002
1880.05.08_Jackson'sOxfordJournal_0002,1880.05.07_TheHullPacketandEastRidingTimes_0002
1880.05.08_Jackson'sOxfordJournal_0003,1880.05.05_TheDerbyMercury_0007
1880.05.08_Jackson'sOxfordJournal_0005,1880.05.06_DailyNews_0004
1880.05.08_Jackson'sOxfordJournal_0006,1880.05.04_TheIpswichJournal_0001
1880.05.08_Jackson'sOxfordJournal_0007,1880.05.04_BirminghamDailyPost_0006
1880.05.08_LiverpoolMercuryetc_0007,1880.05.07_ThePallMallGazette_0008
1880.05.08_TheBristolMercuryandDailyPost_0002,1880.05.06_ThePallMallGazette_0015
