1817.02.15_TheLeedsMercury_0004,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.02.22_TheLeedsMercury_0002,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.02.22_TheLeedsMercury_0004,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.03.08_TheLeedsMercury_0001,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.03.08_TheLeedsMercury_0004,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.03.14_LiverpoolMercuryetc_0005,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.03.15_TheLeedsMercury_0004,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.03.22_Jackson'sOxfordJournal_0006,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.03.22_TheLeedsMercury_0004,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.03.29_TheLeedsMercury_0004,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.04.05_TheLeedsMercury_0002,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.04.05_TheLeedsMercury_0004,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.04.12_TheLeedsMercury_0002,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.04.12_TheLeedsMercury_0004,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.04.19_TheLeedsMercury_0004,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.04.26_TheLeedsMercury_0004,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.05.02_LiverpoolMercuryetc_0001,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.05.03_TheLeedsMercury_0004,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.05.08_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1816.11.30_Jackson'sOxfordJournal_0004
1817.05.10_TheLeedsMercury_0004,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.05.17_TheLeedsMercury_0002,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.05.17_TheLeedsMercury_0004,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.05.23_LiverpoolMercuryetc_0001,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.05.24_TheLeedsMercury_0001,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.05.24_TheLeedsMercury_0004,1816.11.07_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001
1817.05.31_TheLeedsMercury_0004,1816.11.29_LiverpoolMercuryetc_0005
1817.06.14_TheLeedsMercury_0004,1816.11.29_LiverpoolMercuryetc_0005
