1806.07.24_CaledonianMercury_0003,1806.07.21_TheMorningChronicle_0002
1806.07.24_TheDerbyMercury_0004,1806.07.17_Trewman'sExeterFlyingPost_0003
1806.07.24_TheDerbyMercury_0004,1806.07.19_Jackson'sOxfordJournal_0002
1806.07.26_CaledonianMercury_0002,1806.07.23_TheMorningChronicle_0003
1806.07.26_CaledonianMercury_0003,1806.07.24_TheMorningChronicle_0002
1806.07.26_CaledonianMercury_0004,1806.07.23_TheAberdeenJournal_0001
1806.07.26_CaledonianMercury_0004,1806.07.23_TheAberdeenJournal_0004
1806.07.26_Cobbett'sWeeklyPoliticalRegister_0004,1806.07.17_TheMorningChronicle_0002
1806.07.26_Cobbett'sWeeklyPoliticalRegister_0031,1806.07.26_CaledonianMercury_0003
1806.07.26_Jackson'sOxfordJournal_0001,1806.07.22_TheMorningChronicle_0003
1806.07.26_Jackson'sOxfordJournal_0001,1806.07.24_CaledonianMercury_0002
1806.07.26_Jackson'sOxfordJournal_0002,1806.07.24_TheMorningChronicle_0002
1806.07.26_Jackson'sOxfordJournal_0002,1806.07.26_CaledonianMercury_0002
1806.07.26_Jackson'sOxfordJournal_0002,1806.07.26_CaledonianMercury_0003
1806.07.26_Jackson'sOxfordJournal_0002,1806.07.26_Cobbett'sWeeklyPoliticalRegister_0031
1806.07.26_Jackson'sOxfordJournal_0004,1806.07.10_Trewman'sExeterFlyingPost_0003
1806.07.26_Jackson'sOxfordJournal_0004,1806.07.24_CaledonianMercury_0002
1806.07.26_Jackson'sOxfordJournal_0004,1806.07.24_CaledonianMercury_0003
1806.07.26_TheIpswichJournal_0002,1806.07.26_CaledonianMercury_0003
1806.07.26_TheIpswichJournal_0002,1806.07.26_Jackson'sOxfordJournal_0002
1806.07.26_TheIpswichJournal_0004,1806.07.21_CaledonianMercury_0003
1806.07.26_TheNewcastleCourantetc_0002,1806.07.18_TheMorningChronicle_0003
1806.07.26_TheNewcastleCourantetc_0002,1806.07.19_Jackson'sOxfordJournal_0002
1806.07.26_TheNewcastleCourantetc_0002,1806.07.21_CaledonianMercury_0002
1806.07.26_TheNewcastleCourantetc_0002,1806.07.24_CaledonianMercury_0004
1806.07.26_TheNewcastleCourantetc_0002,1806.07.26_Jackson'sOxfordJournal_0004
1806.07.26_TheNewcastleCourantetc_0004,1806.07.22_TheMorningChronicle_0002
1806.07.28_CaledonianMercury_0001,1806.07.10_Trewman'sExeterFlyingPost_0003
1806.07.28_CaledonianMercury_0002,1806.07.25_TheMorningChronicle_0002
1806.07.28_CaledonianMercury_0002,1806.07.26_Cobbett'sWeeklyPoliticalRegister_0032
1806.07.28_HampshireTelegraphandSussexChronicleetc_0002,1806.07.26_CaledonianMercury_0003
1806.07.30_TheAberdeenJournal_0001,1806.07.05_CaledonianMercury_0004
1806.07.30_TheAberdeenJournal_0001,1806.07.19_CaledonianMercury_0004
1806.07.30_TheAberdeenJournal_0001,1806.07.26_CaledonianMercury_0004
1806.07.30_TheAberdeenJournal_0002,1806.07.24_CaledonianMercury_0003
1806.07.30_TheAberdeenJournal_0002,1806.07.26_CaledonianMercury_0003
1806.07.30_TheAberdeenJournal_0002,1806.07.26_Cobbett'sWeeklyPoliticalRegister_0031
1806.07.30_TheAberdeenJournal_0002,1806.07.26_Jackson'sOxfordJournal_0002
1806.07.30_TheAberdeenJournal_0002,1806.07.26_Jackson'sOxfordJournal_0004
1806.07.30_TheAberdeenJournal_0003,1806.07.21_CaledonianMercury_0003
1806.07.30_TheAberdeenJournal_0003,1806.07.24_CaledonianMercury_0003
1806.07.30_TheAberdeenJournal_0003,1806.07.26_CaledonianMercury_0003
1806.07.30_TheAberdeenJournal_0003,1806.07.26_Jackson'sOxfordJournal_0001
1806.07.30_TheAberdeenJournal_0004,1806.07.28_CaledonianMercury_0003
1806.07.31_TheDerbyMercury_0001,1806.07.10_Trewman'sExeterFlyingPost_0003
1806.07.31_TheDerbyMercury_0004,1806.07.26_CaledonianMercury_0003
1806.07.31_TheDerbyMercury_0004,1806.07.26_Jackson'sOxfordJournal_0002
1806.07.31_TheDerbyMercury_0004,1806.07.30_TheAberdeenJournal_0002
1806.07.31_Trewman'sExeterFlyingPost_0002,1806.07.26_CaledonianMercury_0003
1806.07.31_Trewman'sExeterFlyingPost_0002,1806.07.26_Jackson'sOxfordJournal_0002
1806.07.31_Trewman'sExeterFlyingPost_0002,1806.07.28_CaledonianMercury_0003
1806.07.31_Trewman'sExeterFlyingPost_0002,1806.07.31_TheDerbyMercury_0004
1806.08.02_CaledonianMercury_0002,1806.07.30_TheMorningChronicle_0001
1806.08.02_CaledonianMercury_0002,1806.07.30_TheMorningChronicle_0002
1806.08.02_CaledonianMercury_0002,1806.07.31_Trewman'sExeterFlyingPost_0004
