Match A,Match B,Type,Topic,Meme
1800.01.30_TrewmansExeterFlyingPost_0004,1800.01.27_CaledonianMercury_0001,,,
1800.01.30_TrewmansExeterFlyingPost_0004,1800.01.27_CaledonianMercury_0002,,,
1800.01.30_TrewmansExeterFlyingPost_0004,1800.01.27_PortsmouthTelegraph_0002,,,
1800.01.30_TrewmansExeterFlyingPost_0004,1800.01.28_HullPacket_0001,,,
1800.01.30_TrewmansExeterFlyingPost_0004,1800.01.28_HullPacket_0002,,,
1800.01.30_TrewmansExeterFlyingPost_0004,1800.01.30_DerbyMercury_0001,,,
1800.01.30_TrewmansExeterFlyingPost_0004,1800.01.30_DerbyMercury_0003,,,
1800.02.01_CaledonianMercury_0004,1800.01.11_JacksonsOxfordJournal_0001,,,
1800.02.01_CaledonianMercury_0004,1800.01.16_TrewmansExeterFlyingPost_0004,,,
1800.02.01_IpswichJournal_0001,1800.01.16_TrewmansExeterFlyingPost_0004,,,
1800.02.01_IpswichJournal_0001,1800.01.28_HullPacket_0001,,,
1800.02.01_IpswichJournal_0001,1800.01.30_DerbyMercury_0003,,,
1800.02.01_IpswichJournal_0002,1800.02.01_JacksonsOxfordJournal_0002,,,
1800.02.01_IpswichJournal_0004,1800.02.01_JacksonsOxfordJournal_0004,,,
1800.02.01_JacksonsOxfordJournal_0002,1800.01.30_DerbyMercury_0003,,,
1800.02.01_JacksonsOxfordJournal_0002,1800.02.01_CaledonianMercury_0002,,,
1800.02.01_JacksonsOxfordJournal_0002,1800.02.01_CaledonianMercury_0003,,,
1800.02.01_JacksonsOxfordJournal_0004,1800.01.30_DerbyMercury_0002,,,
1800.02.03_AberdeenJournal_0001,1800.01.16_TrewmansExeterFlyingPost_0004,,,
1800.02.03_AberdeenJournal_0001,1800.01.25_JacksonsOxfordJournal_0003,,,
1800.02.03_AberdeenJournal_0001,1800.01.27_CaledonianMercury_0001,,,
1800.02.03_AberdeenJournal_0001,1800.01.28_HullPacket_0001,,,
1800.02.03_AberdeenJournal_0001,1800.01.30_DerbyMercury_0003,,,
1800.02.03_AberdeenJournal_0001,1800.01.30_TrewmansExeterFlyingPost_0004,,,
1800.02.03_AberdeenJournal_0001,1800.02.01_IpswichJournal_0001,,,
1800.02.03_AberdeenJournal_0001,1800.02.03_CaledonianMercury_0001,,,
1800.02.03_AberdeenJournal_0002,1800.01.23_TrewmansExeterFlyingPost_0003,International,Navy,
1800.02.03_AberdeenJournal_0002,1800.01.25_CaledonianMercury_0002,International,Navy,
1800.02.03_AberdeenJournal_0002,1800.01.25_CaledonianMercury_0003,International,Navy,
1800.02.03_AberdeenJournal_0002,1800.01.25_IpswichJournal_0002,International,French News,
1800.02.03_AberdeenJournal_0002,1800.01.25_JacksonsOxfordJournal_0002,International,French News,
1800.02.03_AberdeenJournal_0002,1800.01.27_CaledonianMercury_0002,International,Navy,
1800.02.03_AberdeenJournal_0002,1800.01.27_PortsmouthTelegraph_0002,International,French News,
1800.02.03_AberdeenJournal_0002,1800.01.27_PortsmouthTelegraph_0003,International,Navy,
1800.02.03_AberdeenJournal_0002,1800.01.28_HullPacket_0001,International,Navy,
1800.02.03_AberdeenJournal_0002,1800.01.28_HullPacket_0002,International,French News,
1800.02.03_AberdeenJournal_0002,1800.01.30_DerbyMercury_0001,International,Navy,
1800.02.03_AberdeenJournal_0002,1800.01.30_TrewmansExeterFlyingPost_0004,,,
1800.02.03_AberdeenJournal_0003,1800.01.27_CaledonianMercury_0002,,,
1800.02.03_AberdeenJournal_0003,1800.01.28_HullPacket_0003,,,
1800.02.03_AberdeenJournal_0003,1800.01.30_CaledonianMercury_0002,,,
1800.02.03_AberdeenJournal_0003,1800.01.30_CaledonianMercury_0003,,,
1800.02.03_AberdeenJournal_0003,1800.01.30_DerbyMercury_0002,,,
1800.02.03_AberdeenJournal_0004,1800.01.30_CaledonianMercury_0002,,,
1800.02.03_AberdeenJournal_0004,1800.02.03_CaledonianMercury_0004,,,
1800.02.03_CaledonianMercury_0001,1800.01.25_JacksonsOxfordJournal_0003,,,
1800.02.03_CaledonianMercury_0001,1800.01.28_HullPacket_0001,,,
