1807.06.25_TheDerbyMercury_0004,1807.05.28_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003
1807.06.25_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1807.05.14_TheDerbyMercury_0004
1807.06.30_TheHullPacket_0004,1807.05.02_Jackson'sOxfordJournal_0004
1807.07.02_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1807.05.28_TheDerbyMercury_0004
1807.07.09_TheDerbyMercury_0004,1807.05.09_Jackson'sOxfordJournal_0004
1807.07.09_TheDerbyMercury_0004,1807.05.09_TheIpswichJournal_0004
1807.07.09_TheDerbyMercury_0004,1807.05.16_Jackson'sOxfordJournal_0004
1807.07.09_TheDerbyMercury_0004,1807.05.23_Jackson'sOxfordJournal_0004
1807.07.11_TheLeedsMercury_0004,1807.05.04_HampshireTelegraphandSussexChronicleetc_0001
1807.07.11_TheLeedsMercury_0004,1807.05.25_CaledonianMercury_0001
1807.07.18_Jackson'sOxfordJournal_0004,1807.05.28_TheDerbyMercury_0004
